R001,Mixed Veg Salad Recipe,Mixed Veg salad is made of vegitables
R002,Bundi Raita Recipe,Bundi Raita is prepared with Boondi and Curd
R003,Onion Salad Recipe,Onion Salad is just Onions are cutted into slices
R004,Green Salad Recipe,"Green Salad is mixtuer of Green leaves, Oninons and Tomatos"
R005,Roasted/Fry Papad Recipe,Fry Papad are just Frymes
R006,Masala Papad Recipe,"Masala Papad is prepared with Lijjed Papad, on top of it we add onions, Tomatos and pepper"
R007,Clear Soup Recipe,Soup made of corn flakes
R008,Tomato Soup Recipe,Soup made of Tomatos
R009,Veg. Manchow Soup Recipe,Recipe yet to be uploaded
R010,Veg. Hot and Sour Soup Recipe,Recipe yet to be uploaded
R011,Sweet Corn Soup Recipe,Recipe yet to be uploaded
R012,Mashroom Soup Recipe,Recipe yet to be uploaded
R013,Chicken Manchow Soup Recipe,Recipe yet to be uploaded
R014,Chicken Hot and Sour Soup Recipe,Recipe yet to be uploaded
R015,Finger Chips Recipe,Recipe yet to be uploaded
R016,Paneer Finger Recipe,Recipe yet to be uploaded
R017,Veg Pakoda Recipe,Recipe yet to be uploaded
R018,Veg Crispy Corn Recipe,Recipe yet to be uploaded
R019,Paneer Cutlet Recipe,Recipe yet to be uploaded
R020,Mashroom Pepper Salt Recipe,Recipe yet to be uploaded
R021,Paneer tikka Recipe,Recipe yet to be uploaded
R022,Veg Hariyali Kabab Recipe,Recipe yet to be uploaded
R023,Hara Bara Kabab Recipe,Recipe yet to be uploaded
R024,Veg Manchuria Recipe,Recipe yet to be uploaded
R025,Paneer Chilli Dry Recipe,Recipe yet to be uploaded
R026,Gobi Manchuria Recipe,Recipe yet to be uploaded
R027,Paneer 65 Recipe,Recipe yet to be uploaded
R028,Gobi 65 Recipe,Recipe yet to be uploaded
R029,Paneer Manchuria Recipe,Recipe yet to be uploaded
R030,Fish Tikka Recipe,Recipe yet to be uploaded
R031,Tandoori chicken Recipe,Recipe yet to be uploaded
R032,Chicken Tikka Recipe,Recipe yet to be uploaded
R033,Tangdi Kabab Recipe,Recipe yet to be uploaded
R034,Reshmi Kabab Recipe,Recipe yet to be uploaded
R035,Kalmi Kabab Recipe,Recipe yet to be uploaded
R036,Chicken Manchuria Recipe,Recipe yet to be uploaded
R037,Chilli Chicken Recipe,Recipe yet to be uploaded
R038,Chicken Masala Recipe,Recipe yet to be uploaded
R039,Butter Chicken Recipe,Recipe yet to be uploaded
R040,Kadai Chicken Recipe,Recipe yet to be uploaded
R041,Chicken Tikka Masala Recipe,Recipe yet to be uploaded
R042,Chicken Panjabi Recipe,Recipe yet to be uploaded
R043,Chicken Chettinad Recipe,Recipe yet to be uploaded
R044,Mutton Masala Recipe,Recipe yet to be uploaded
R045,Mutton Korma Recipe,Recipe yet to be uploaded
R046,Keema Hyderabadi Recipe,Recipe yet to be uploaded
R047,Fish Curry Recipe,Recipe yet to be uploaded
R048,Prawns Pepper Masala Recipe,Recipe yet to be uploaded
R049,Fish Tawa Masala Recipe,Recipe yet to be uploaded
R050,Egg Bhurji Recipe,Recipe yet to be uploaded
R051,Egg Masala Recipe,Recipe yet to be uploaded
R052,Dal Makhani Recipe,Recipe yet to be uploaded
R053,Dal Tadka Recipe,Recipe yet to be uploaded
R054,Plain Dal Recipe,Recipe yet to be uploaded
R055,Dal Fry Recipe,Recipe yet to be uploaded
R056,Mixed Veg Curry Recipe,Recipe yet to be uploaded
R057,Kadai Paneer Recipe,Recipe yet to be uploaded
R058,Butter Paneer Masala Recipe,Recipe yet to be uploaded
R059,Mashroom Masala Recipe,Recipe yet to be uploaded
R060,Palak Paneer Recipe,Recipe yet to be uploaded
R061,Shahi Paneer Recipe,Recipe yet to be uploaded
R062,Channa Masala Recipe,Recipe yet to be uploaded
R063,Chapati Recipe,Recipe yet to be uploaded
R064,Rumali Roti Recipe,Recipe yet to be uploaded
R065,Pudina Roti Recipe,Recipe yet to be uploaded
R066,Kulcha Recipe,Recipe yet to be uploaded
R067,Plain Naan Recipe,Recipe yet to be uploaded
R068,Butter Naan Recipe,Recipe yet to be uploaded
R069,Gobi Paratha Recipe,Recipe yet to be uploaded
R070,Plain Paratha Recipe,Recipe yet to be uploaded
R071,Butter Roti Recipe,Recipe yet to be uploaded
R072,Veg. American Chopsy Recipe,Recipe yet to be uploaded
R073,Veg. Hakka Noodles Recipe,Recipe yet to be uploaded
R074,Veg. Fried Rice Recipe,Recipe yet to be uploaded
R075,Schezwan Veg Fried Rice Recipe,Recipe yet to be uploaded
R076,Chicken Fried Rice Recipe,Recipe yet to be uploaded
R077,Chicken Hakka Noodles Recipe,Recipe yet to be uploaded
R078,Chicken Schezwan Fried Rice Recipe,Recipe yet to be uploaded
R079,Chicken American Chopsy Recipe,Recipe yet to be uploaded
R080,Mixed Fried Rice Recipe,Recipe yet to be uploaded
R081,Mixed Noodles Recipe,Recipe yet to be uploaded
R082,Manchurian Curry Recipe,Recipe yet to be uploaded
R083,Plain White Rice Recipe,Recipe yet to be uploaded
R084,Jeera Rice Recipe,Recipe yet to be uploaded
R085,Veg Pulao Recipe,Recipe yet to be uploaded
R086,Panner Pulao Recipe,Recipe yet to be uploaded
R087,Lemon Rice Recipe,Recipe yet to be uploaded
R088,Hydrabadi Chicken Biryani Recipe,Recipe yet to be uploaded
R089,Mutton Paya Recipe,Recipe yet to be uploaded
R090,Hydrabadi Mutton Biryani Recipe,Recipe yet to be uploaded
R091,Chicken Biryani Recipe,Recipe yet to be uploaded
R092,Mutton Biryani Recipe,Recipe yet to be uploaded
R093,Fish Biryani Recipe,Recipe yet to be uploaded
R094,Prawns Biryani Recipe,Recipe yet to be uploaded
R095,Egg Biryani Recipe,Recipe yet to be uploaded
R096,Veg Biryani Recipe,Recipe yet to be uploaded
R097,Steam Rice Recipe,Recipe yet to be uploaded
R098,Sweet and Salt Lime Soda Recipe,Recipe yet to be uploaded
R099,Fresh Lime Recipe,Recipe yet to be uploaded
R100,Watermelon Juice Recipe,Recipe yet to be uploaded
R101,Pineapple Juice Recipe,Recipe yet to be uploaded
R102,Apple Juice Recipe,Recipe yet to be uploaded
R103,Mango Juice Recipe,Recipe yet to be uploaded
R104,Apple Milk Shake Recipe,Recipe yet to be uploaded
R105,Dry Fruits Milk Shake Recipe,Recipe yet to be uploaded
R106,Fruit Salad Recipe,Recipe yet to be uploaded
R107,Black Current Icecream Recipe,Recipe yet to be uploaded
R108,Pista Icecream Recipe,Recipe yet to be uploaded
R109,Strawberry Icecream Recipe,Recipe yet to be uploaded
R110,Vanilla Icecream Recipe,Recipe yet to be uploaded
R111,Butterscotch Icecream Recipe,Recipe yet to be uploaded
R112,Tutty Fruitty Recipe,Recipe yet to be uploaded
R113,Black Forest Pastry Recipe,Recipe yet to be uploaded
R114,Pineapple Pastry Recipe,Recipe yet to be uploaded
R115,Butterscotch Pastry Recipe,Recipe yet to be uploaded
R116,Mineral Water Recipe,Recipe yet to be uploaded
R117,My Can Recipe,Recipe yet to be uploaded
R118,Thumps Up Recipe,Recipe yet to be uploaded
R119,Coko-Cola Recipe,Recipe yet to be uploaded
R120,Sprite Recipe,Recipe yet to be uploaded
R121,Maaza Recipe,Recipe yet to be uploaded
R122,Stuffed Garlic Bread Recipe,Recipe yet to be uploaded
R123,Veg Pizza Recipe,Recipe yet to be uploaded
R124,Paneer Pizza Recipe,Recipe yet to be uploaded
R125,Mashrum Pizza Recipe,Recipe yet to be uploaded
R126,Chicken Pizza Recipe,Recipe yet to be uploaded
R127,Veg Burger Recipe,Recipe yet to be uploaded
R128,Chicken Burger Recipe,Recipe yet to be uploaded
R129,Chaco Hola Recipe,Recipe yet to be uploaded
R130,Frutty Blizz Recipe,Recipe yet to be uploaded
